Batsman Name,Runs,Balls,4s,6s,Strike Rates
Shadab Khan,52,22,3,4,236.36
Mohammad Wasim,0,1,0,0,0.00
Naseem Shah,5,3,0,0,166.66
Haris Rauf,3,2,0,0,150.00
Temba Bavuma (c),36,19,4,1,189.47
Quinton de Kock †,0,5,0,0,0.00
Rilee Rossouw,7,6,0,1,116.66
Aiden Markram,20,14,4,0,142.85
Heinrich Klaasen,15,9,3,0,166.66
Tristan Stubbs,18,18,0,1,100.00
Wayne Parnell,3,4,0,0,75.00
Kagiso Rabada,1,2,0,0,50.00
Anrich Nortje,1,5,0,0,20.00
Lungi Ngidi,4,1,1,0,400.00
Tabraiz Shamsi,1,1,0,0,100.00
KL Rahul,50,32,3,4,156.25
Rohit Sharma (c),2,8,0,0,25.00
Virat Kohli,64,44,8,1,145.45
Suryakumar Yadav,30,16,4,0,187.50
Hardik Pandya,5,6,0,0,83.33
Dinesh Karthik †,7,5,1,0,140.00
Axar Patel,7,6,1,0,116.66
Ravichandran Ashwin,13,6,1,1,216.66
Najmul Hossain Shanto,21,25,1,1,84.00
Litton Das,60,27,7,3,222.22
Shakib Al Hasan (c),13,12,2,0,108.33
Afif Hossain,3,5,0,0,60.00
Yasir Ali,1,3,0,0,33.33
Nurul Hasan †,25,14,2,1,178.57
Mosaddek Hossain,6,3,0,1,200.00
Taskin Ahmed,12,7,1,1,171.42
Wessly Madhevere,1,5,0,0,20.00
Craig Ervine (c),3,12,0,0,25.00
Regis Chakabva †,5,16,1,0,31.25
Sean Williams,28,23,3,0,121.73
Sikandar Raza,40,24,3,3,166.66
Milton Shumba,2,3,0,0,66.66
Ryan Burl,2,7,0,0,28.57
Luke Jongwe,6,8,0,0,75.00
Richard Ngarava,9,7,0,1,128.57
Tendai Chatara,6,7,0,0,85.71
Blessing Muzarabani,1,4,0,0,25.00
Stephan Myburgh,8,7,0,1,114.28
Max O'Dowd,52,47,8,1,110.63
Tom Cooper,32,29,2,1,110.34
Colin Ackermann,1,5,0,0,20.00
Bas de Leede,12,12,2,0,100.00
Scott Edwards (c)†,5,6,1,0,83.33
Roelof van der Merwe,0,3,0,0,0.00
Jos Buttler (c)†,73,47,7,2,155.31
Alex Hales,52,40,7,1,130.00
Moeen Ali,5,6,0,0,83.33
Liam Livingstone,20,14,1,1,142.85
Harry Brook,7,3,0,1,233.33
Ben Stokes,8,7,0,0,114.28
Sam Curran,6,3,0,1,200.00
Dawid Malan,3,1,0,0,300.00
Finn Allen,16,11,0,1,145.45
Devon Conway †,3,9,0,0,33.33
Kane Williamson (c),40,40,3,0,100.00
Glenn Phillips,62,36,4,3,172.22
James Neesham,6,3,1,0,200.00
Daryl Mitchell,3,5,0,0,60.00
Mitchell Santner,16,10,0,1,160.00
Ish Sodhi,6,6,0,0,100.00
Rahmanullah Gurbaz †,28,24,2,2,116.66
Usman Ghani,27,27,2,1,100.00
Ibrahim Zadran,22,18,1,1,122.22
Najibullah Zadran,18,16,1,0,112.50
Gulbadin Naib,12,14,0,0,85.71
Mohammad Nabi (c),13,8,1,0,162.50
Rashid Khan,9,8,1,0,112.50
Azmatullah Omarzai,3,4,0,0,75.00
Mujeeb Ur Rahman,1,2,0,0,50.00
Pathum Nissanka,10,10,2,0,100.00
Kusal Mendis †,25,27,2,1,92.59
Dhananjaya de Silva,66,42,6,2,157.14
Charith Asalanka,19,18,1,0,105.55
Bhanuka Rajapaksa,18,14,3,0,128.57
Dasun Shanaka (c),0,0,0,0,0
David Warner,3,7,0,0,42.85
Aaron Finch (c),63,44,5,3,143.18
Mitchell Marsh,28,22,2,2,127.27
Glenn Maxwell,13,9,0,1,144.44
Marcus Stoinis,35,25,3,1,140.00
Tim David,15,10,2,0,150.00
Matthew Wade †,7,3,1,0,233.33
Paul Stirling,11,7,1,1,157.14
Andy Balbirnie (c),6,7,0,1,85.71
Lorcan Tucker †,71,48,9,1,147.91
Harry Tector,6,4,1,0,150.00
Curtis Campher,0,1,0,0,0.00
George Dockrell,0,4,0,0,0.00
Gareth Delany,14,10,2,0,140.00
Mark Adair,11,11,1,0,100.00
Fionn Hand,6,6,1,0,100.00
Barry McCarthy,3,7,0,0,42.85
Josh Little,1,5,0,0,20.00
KL Rahul,9,14,0,1,64.28
Rohit Sharma (c),15,14,1,1,107.14
Virat Kohli,12,11,2,0,109.09
Suryakumar Yadav,68,40,6,3,170.00
Deepak Hooda,0,3,0,0,0.00
Hardik Pandya,2,3,0,0,66.66
Dinesh Karthik †,6,15,0,0,40.00
Ravichandran Ashwin,7,11,0,0,63.63
Bhuvneshwar Kumar,4,6,0,0,66.66
Mohammed Shami,0,2,0,0,0.00
Arshdeep Singh,2,1,0,0,200.00
Quinton de Kock †,1,3,0,0,33.33
Temba Bavuma (c),10,15,0,1,66.66
Rilee Rossouw,0,2,0,0,0.00
Aiden Markram,52,41,6,1,126.82
David Miller,59,46,4,3,128.26
Tristan Stubbs,6,6,1,0,100.00
Wayne Parnell,2,5,0,0,40.00
Stephan Myburgh,6,11,1,0,54.54
Max O'Dowd,8,13,0,0,61.53
Bas de Leede,6,16,1,0,37.50
Tom Cooper,1,2,0,0,50.00
Colin Ackermann,27,27,2,0,100.00
Scott Edwards (c)†,15,20,1,0,75.00
Roelof van der Merwe,5,6,0,0,83.33
Tim Pringle,5,8,0,0,62.50
Logan van Beek,6,9,0,0,66.66
Fred Klaassen,0,1,0,0,0.00
Paul van Meekeren,7,7,0,0,100.00
Mohammad Rizwan †,49,39,5,0,125.64
Babar Azam (c),4,5,1,0,80.00
Fakhar Zaman,20,16,3,0,125.00
Shan Masood,12,16,0,0,75.00
Iftikhar Ahmed,6,5,0,0,120.00
Shadab Khan,4,2,1,0,200.00
Najmul Hossain Shanto,71,55,7,1,129.09
Soumya Sarkar,0,2,0,0,0.00
Litton Das,14,12,3,0,116.66
Shakib Al Hasan (c),23,20,1,0,115.00
Afif Hossain,29,19,1,1,152.63
Mosaddek Hossain,7,10,0,0,70.00
Nurul Hasan †,1,1,0,0,100.00
Yasir Ali,1,1,0,0,100.00
Wessly Madhevere,4,3,1,0,133.33
Craig Ervine (c),8,7,2,0,114.28
Milton Shumba,8,15,1,0,53.33
Sean Williams,64,42,8,0,152.38
Sikandar Raza,0,3,0,0,0.00
Regis Chakabva †,15,19,0,0,78.94
Ryan Burl,27,25,2,1,108.00
Brad Evans,2,2,0,0,100.00
Richard Ngarava,6,3,0,1,200.00
Blessing Muzarabani,0,2,0,0,0.00
Finn Allen,1,3,0,0,33.33
Devon Conway †,1,4,0,0,25.00
Kane Williamson (c),8,13,1,0,61.53
Glenn Phillips,104,64,10,4,162.50
Daryl Mitchell,22,24,0,0,91.66
James Neesham,5,8,0,0,62.50
Mitchell Santner,11,5,0,1,220.00
Ish Sodhi,1,1,0,0,100.00
Tim Southee,4,1,1,0,400.00
Pathum Nissanka,0,5,0,0,0.00
Kusal Mendis †,4,3,1,0,133.33
Dhananjaya de Silva,0,3,0,0,0.00
Charith Asalanka,4,8,0,0,50.00
Bhanuka Rajapaksa,34,22,3,2,154.54
Chamika Karunaratne,3,8,0,0,37.50
Dasun Shanaka (c),35,32,4,1,109.37
Wanindu Hasaranga,4,6,1,0,66.66
Maheesh Theekshana,0,3,0,0,0.00
Kasun Rajitha,8,21,0,0,38.09
Lahiru Kumara,4,5,1,0,80.00
Wessly Madhevere,17,13,3,0,130.76
Craig Ervine (c),19,19,2,0,100.00
Milton Shumba,8,10,1,0,80.00
Sean Williams,31,28,3,0,110.71
Sikandar Raza,9,16,1,0,56.25
Regis Chakabva †,0,1,0,0,0.00
Ryan Burl,10,15,0,0,66.66
Luke Jongwe,0,1,0,0,0.00
Brad Evans,19,15,0,1,126.66
Richard Ngarava,3,2,0,0,150.00
Mohammad Rizwan †,14,16,1,1,87.50
Babar Azam (c),4,9,1,0,44.44
Shan Masood,44,38,3,0,115.78
Iftikhar Ahmed,5,10,1,0,50.00
Shadab Khan,17,14,0,1,121.42
Haider Ali,0,1,0,0,0.00
Mohammad Nawaz,22,18,1,1,122.22
Mohammad Wasim,12,13,2,0,92.30
Shaheen Shah Afridi,1,1,0,0,100.00
KL Rahul,9,12,1,0,75.00
Rohit Sharma (c),53,39,4,3,135.89
Virat Kohli,62,44,3,2,140.90
Suryakumar Yadav,51,25,7,1,204.00
Vikramjit Singh,1,9,0,0,11.11
Max O'Dowd,16,10,3,0,160.00
Bas de Leede,16,23,0,0,69.56
Colin Ackermann,17,21,1,0,80.95
Tom Cooper,9,12,0,0,75.00
Scott Edwards (c)†,5,8,0,0,62.50
Tim Pringle,20,15,1,1,133.33
Logan van Beek,3,5,0,0,60.00
Shariz Ahmad,16,11,2,0,145.45
Fred Klaassen,0,1,0,0,0.00
Paul van Meekeren,14,6,3,0,233.33
Temba Bavuma (c),2,6,0,0,33.33
Quinton de Kock †,63,38,7,3,165.78
Rilee Rossouw,109,56,7,8,194.64
Tristan Stubbs,7,7,1,0,100.00
Aiden Markram,10,11,1,0,90.90
David Miller,2,4,0,0,50.00
Wayne Parnell,0,2,0,0,0.00
Najmul Hossain Shanto,9,9,1,0,100.00
Soumya Sarkar,15,6,0,2,250.00
Litton Das,34,31,1,1,109.67
Shakib Al Hasan (c),1,4,0,0,25.00
Afif Hossain,1,5,0,0,20.00
Mehidy Hasan Miraz,11,13,0,0,84.61
Mosaddek Hossain,0,3,0,0,0.00
Nurul Hasan †,2,6,0,0,33.33
Taskin Ahmed,10,17,1,0,58.82
Hasan Mahmud,0,2,0,0,0.00
Mustafizur Rahman,9,3,0,1,300.00
Paul Stirling,14,8,1,1,175.00
Andy Balbirnie (c),62,47,5,2,131.91
Lorcan Tucker †,34,27,3,1,125.92
Harry Tector,0,2,0,0,0.00
Curtis Campher,18,11,3,0,163.63
George Dockrell,0,1,0,0,0.00
Gareth Delany,12,10,1,0,120.00
Mark Adair,4,4,0,0,100.00
Barry McCarthy,3,3,0,0,100.00
Fionn Hand,1,2,0,0,50.00
Josh Little,0,1,0,0,0.00
Jos Buttler (c)†,0,2,0,0,0.00
Alex Hales,7,5,1,0,140.00
Dawid Malan,35,37,2,0,94.59
Ben Stokes,6,8,0,0,75.00
Harry Brook,18,21,1,0,85.71
Moeen Ali,24,12,3,1,200.00
Liam Livingstone,1,2,0,0,50.00
Pathum Nissanka,40,45,2,0,88.88
Kusal Mendis †,5,6,1,0,83.33
Dhananjaya de Silva,26,23,3,0,113.04
Charith Asalanka,38,25,3,2,152.00
Bhanuka Rajapaksa,7,5,1,0,140.00
Dasun Shanaka (c),3,5,0,0,60.00
Wanindu Hasaranga,1,4,0,0,25.00
Chamika Karunaratne,14,7,2,0,200.00
David Warner,11,10,0,0,110.00
Aaron Finch (c),31,42,0,1,73.80
Mitchell Marsh,17,17,1,1,100.00
Glenn Maxwell,23,12,2,2,191.66
Marcus Stoinis,59,18,4,6,327.77
Regis Chakabva †,8,8,0,1,100.00
Craig Ervine (c),2,6,0,0,33.33
Sean Williams,1,1,0,0,100.00
Sikandar Raza,0,2,0,0,0.00
Wessly Madhevere,35,18,4,1,194.44
Milton Shumba,18,20,2,0,90.00
Quinton de Kock †,47,18,8,1,261.11
Temba Bavuma (c),2,2,0,0,100.00
Najmul Hossain Shanto,25,20,4,0,125.00
Soumya Sarkar,14,14,2,0,100.00
Litton Das,9,11,0,0,81.81
Shakib Al Hasan (c),7,9,0,0,77.77
Afif Hossain,38,27,2,2,140.74
Yasir Ali,3,5,0,0,60.00
Nurul Hasan †,13,18,0,0,72.22
Mosaddek Hossain,20,12,2,1,166.66
Taskin Ahmed,0,1,0,0,0.00
Hasan Mahmud,0,3,0,0,0.00
Vikramjit Singh,0,1,0,0,0.00
Max O'Dowd,8,8,0,1,100.00
Bas de Leede,0,1,0,0,0.00
Colin Ackermann,62,48,6,2,129.16
Tom Cooper,0,0,0,0,0
Scott Edwards (c)†,16,24,1,0,66.66
Tim Pringle,1,6,0,0,16.66
Logan van Beek,2,5,0,0,40.00
Shariz Ahmad,9,8,1,0,112.50
Fred Klaassen,7,6,0,0,116.66
Paul van Meekeren,24,14,3,1,171.42
Mohammad Rizwan †,4,12,1,0,33.33
Babar Azam (c),0,1,0,0,0.00
Shan Masood,52,42,5,0,123.80
Iftikhar Ahmed,51,34,2,4,150.00
Shadab Khan,5,6,1,0,83.33
Haider Ali,2,4,0,0,50.00
Mohammad Nawaz,9,6,2,0,150.00
Asif Ali,2,3,0,0,66.66
Shaheen Shah Afridi,16,8,1,1,200.00
Haris Rauf,6,4,0,1,150.00
KL Rahul,4,8,0,0,50.00
Rohit Sharma (c),4,7,0,0,57.14
Virat Kohli,82,53,6,4,154.71
Suryakumar Yadav,15,10,2,0,150.00
Axar Patel,2,3,0,0,66.66
Hardik Pandya,40,37,1,2,108.10
Dinesh Karthik †,1,2,0,0,50.00
Ravichandran Ashwin,1,1,0,0,100.00
Paul Stirling,34,25,4,1,136.00
Andy Balbirnie (c),1,5,0,0,20.00
Lorcan Tucker †,10,11,1,0,90.90
Harry Tector,45,42,2,1,107.14
Curtis Campher,2,4,0,0,50.00
George Dockrell,14,16,0,0,87.50
Gareth Delany,9,6,1,0,150.00
Mark Adair,0,1,0,0,0.00
Simi Singh,7,8,1,0,87.50
Barry McCarthy,2,2,0,0,100.00
Kusal Mendis †,68,43,5,3,158.13
Dhananjaya de Silva,31,25,2,1,124.00
Charith Asalanka,31,22,2,0,140.90
Hazratullah Zazai,7,17,1,0,41.17
Rahmanullah Gurbaz †,10,9,0,1,111.11
Ibrahim Zadran,32,32,3,1,100.00
Usman Ghani,30,30,3,0,100.00
Najibullah Zadran,13,11,0,1,118.18
Mohammad Nabi (c),3,5,0,0,60.00
Azmatullah Omarzai,8,6,1,0,133.33
Rashid Khan,0,1,0,0,0.00
Mujeeb Ur Rahman,0,1,0,0,0.00
Fareed Ahmad,2,4,0,0,50.00
Fazalhaq Farooqi,0,2,0,0,0.00
Jos Buttler (c)†,18,18,3,0,100.00
Alex Hales,19,20,0,1,95.00
Dawid Malan,18,30,0,0,60.00
Ben Stokes,2,4,0,0,50.00
Liam Livingstone,29,21,3,0,138.09
Harry Brook,7,6,0,0,116.66
Moeen Ali,8,10,0,0,80.00
Finn Allen,42,16,5,3,262.50
Devon Conway †,92,58,7,2,158.62
Kane Williamson (c),23,23,1,1,100.00
Glenn Phillips,12,10,2,0,120.00
James Neesham,26,13,0,2,200.00
David Warner,5,6,1,0,83.33
Aaron Finch (c),13,11,1,1,118.18
Mitchell Marsh,16,12,2,1,133.33
Glenn Maxwell,28,20,3,1,140.00
Marcus Stoinis,7,14,0,0,50.00
Tim David,11,8,0,1,137.50
Matthew Wade †,2,4,0,0,50.00
Pat Cummins,21,18,2,1,116.66
Mitchell Starc,4,7,0,0,57.14
Adam Zampa,0,2,0,0,0.00
Josh Hazlewood,1,1,0,0,100.00
George Munsey,54,51,7,0,105.88
Michael Jones,4,5,1,0,80.00
Matthew Cross †,1,7,0,0,14.28
Richie Berrington (c),13,15,0,0,86.66
Calum MacLeod,25,26,1,0,96.15
Michael Leask,12,9,2,0,133.33
Chris Greaves,3,7,0,0,42.85
Josh Davey,4,3,0,0,133.33
Regis Chakabva †,4,3,1,0,133.33
Craig Ervine (c),58,54,6,0,107.40
Wessly Madhevere,0,5,0,0,0.00
Sean Williams,7,12,0,0,58.33
Sikandar Raza,40,23,3,2,173.91
Milton Shumba,11,11,0,0,100.00
Ryan Burl,9,5,1,0,180.00
Kyle Mayers,1,5,0,0,20.00
Johnson Charles,24,18,3,1,133.33
Evin Lewis,13,18,0,0,72.22
Brandon King,62,48,6,1,129.16
Nicholas Pooran (c)†,13,11,0,1,118.18
Rovman Powell,6,8,1,0,75.00
Odean Smith,19,12,1,2,158.33
Paul Stirling,66,48,6,2,137.50
Andy Balbirnie (c),37,23,3,3,160.86
Lorcan Tucker †,45,35,2,2,128.57
Muhammad Waseem,50,41,1,3,121.95
Vriitya Aravind †,21,32,2,0,65.62
CP Rizwan (c),43,29,3,1,148.27
Alishan Sharafu,4,4,0,0,100.00
Basil Hameed,25,14,2,2,178.57
Michael van Lingen,10,8,1,0,125.00
Stephan Baard,4,6,1,0,66.66
Jan Nicol Loftie-Eaton,1,6,0,0,16.66
Gerhard Erasmus (c),16,18,2,0,88.88
Jan Frylinck,14,17,1,0,82.35
JJ Smit,3,3,0,0,100.00
David Wiese,55,36,3,3,152.77
Zane Green †,2,3,0,0,66.66
Ruben Trumpelmann,25,24,1,1,104.16
Bernard Scholtz,1,1,0,0,100.00
Pathum Nissanka,14,21,0,1,66.66
Kusal Mendis †,79,44,5,5,179.54
Dhananjaya de Silva,0,1,0,0,0.00
Charith Asalanka,31,30,3,0,103.33
Bhanuka Rajapaksa,19,13,2,0,146.15
Dasun Shanaka (c),8,5,0,1,160.00
Wanindu Hasaranga,5,4,0,0,125.00
Chamika Karunaratne,2,2,0,0,100.00
Max O'Dowd,71,53,6,3,133.96
Vikramjit Singh,7,14,0,0,50.00
Bas de Leede,14,10,1,1,140.00
Colin Ackermann,0,1,0,0,0.00
Tom Cooper,16,19,2,0,84.21
Scott Edwards (c)†,21,15,3,0,140.00
Tim Pringle,2,4,0,0,50.00
Timm van der Gugten,0,1,0,0,0.00
Fred Klaassen,3,3,0,0,100.00
Paul van Meekeren,0,0,0,0,0
Roelof van der Merwe,0,1,0,0,0.00
Kyle Mayers,13,12,2,0,108.33
Johnson Charles,45,36,3,2,125.00
Evin Lewis,15,18,1,0,83.33
Nicholas Pooran (c)†,7,9,0,0,77.77
Rovman Powell,28,21,1,2,133.33
Shamarh Brooks,0,3,0,0,0.00
Jason Holder,4,3,0,0,133.33
Akeal Hosein,23,18,2,0,127.77
Odean Smith,1,2,0,0,50.00
Wessly Madhevere,27,19,3,1,142.10
Regis Chakabva (c)†,13,9,3,0,144.44
Tony Munyonga,2,6,0,0,33.33
Sean Williams,1,2,0,0,50.00
Sikandar Raza,14,8,1,1,175.00
Milton Shumba,2,9,0,0,22.22
Ryan Burl,17,19,3,0,89.47
Luke Jongwe,29,22,3,1,131.81
Richard Ngarava,2,6,0,0,33.33
Tendai Chatara,3,8,0,0,37.50
Blessing Muzarabani,1,4,0,0,25.00
George Munsey,1,2,0,0,50.00
Michael Jones,86,55,6,4,156.36
Matthew Cross †,28,21,5,0,133.33
Richie Berrington (c),37,27,3,1,137.03
Michael Leask,17,13,2,0,130.76
Calum MacLeod,0,3,0,0,0.00
Paul Stirling,8,10,1,0,80.00
Andy Balbirnie (c),14,12,2,0,116.66
Lorcan Tucker †,20,17,2,0,117.64
Harry Tector,14,16,1,0,87.50
Curtis Campher,72,32,7,2,225.00
George Dockrell,39,27,4,1,144.44
Pathum Nissanka,74,60,6,2,123.33
Kusal Mendis †,18,13,2,0,138.46
Dhananjaya de Silva,33,21,3,1,157.14
Bhanuka Rajapaksa,5,8,0,0,62.50
Charith Asalanka,0,1,0,0,0.00
Dasun Shanaka (c),0,1,0,0,0.00
Wanindu Hasaranga,2,3,0,0,66.66
Chamika Karunaratne,8,11,1,0,72.72
Pramod Madushan,1,1,0,0,100.00
Dushmantha Chameera,1,1,0,0,100.00
Muhammad Waseem,2,4,0,0,50.00
Chirag Suri,14,19,3,0,73.68
Aryan Lakra,1,3,0,0,33.33
CP Rizwan (c),1,3,0,0,33.33
Vriitya Aravind †,9,18,1,0,50.00
Basil Hameed,2,6,0,0,33.33
Aayan Afzal Khan,19,21,1,0,90.47
Kashif Daud,0,4,0,0,0.00
Karthik Meiyappan,4,8,0,0,50.00
Junaid Siddique,18,16,1,1,112.50
Zahoor Khan,1,1,0,0,100.00
Michael van Lingen,20,19,3,0,105.26
Divan la Cock,0,2,0,0,0.00
Stephan Baard,19,22,0,0,86.36
Jan Nicol Loftie-Eaton,0,2,0,0,0.00
Jan Frylinck,43,48,1,1,89.58
Gerhard Erasmus (c),16,18,0,0,88.88
David Wiese,11,5,1,0,220.00
JJ Smit,5,4,1,0,125.00
Max O'Dowd,35,35,1,1,100.00
Vikramjit Singh,39,31,3,2,125.80
Bas de Leede,30,30,2,0,100.00
Tom Cooper,6,6,1,0,100.00
Colin Ackermann,0,2,0,0,0.00
Scott Edwards (c)†,1,5,0,0,20.00
Tim Pringle,8,9,0,0,88.88
Regis Chakabva †,0,2,0,0,0.00
Craig Ervine (c),9,12,1,0,75.00
Wessly Madhevere,22,19,4,0,115.78
Sean Williams,12,11,0,1,109.09
Sikandar Raza,82,48,5,5,170.83
Milton Shumba,16,14,1,0,114.28
Ryan Burl,1,4,0,0,25.00
Luke Jongwe,20,10,3,0,200.00
Paul Stirling,0,2,0,0,0.00
Andy Balbirnie (c),3,4,0,0,75.00
Lorcan Tucker †,11,11,2,0,100.00
Harry Tector,1,4,0,0,25.00
Curtis Campher,27,22,1,0,122.72
George Dockrell,24,20,3,0,120.00
Gareth Delany,24,20,1,1,120.00
Mark Adair,9,10,0,1,90.00
Simi Singh,0,1,0,0,0.00
Barry McCarthy,22,16,1,2,137.50
Josh Little,7,11,1,0,63.63
George Munsey,66,53,9,0,124.52
Michael Jones,20,17,3,0,117.64
Matthew Cross †,3,5,0,0,60.00
Richie Berrington (c),16,14,0,1,114.28
Calum MacLeod,23,14,4,0,164.28
Michael Leask,4,6,0,0,66.66
Chris Greaves,16,11,2,0,145.45
Kyle Mayers,20,13,3,1,153.84
Evin Lewis,14,13,1,1,107.69
Brandon King,17,15,3,0,113.33
Nicholas Pooran (c)†,5,9,0,0,55.55
